snapshot_date,source_id,category,publication,race_id,chamber,state,district,quantity,value,unit,captured_at,raw_sha256,raw_path,provenance
2025-11-14,kalshi,market,individual,NATL_HOUSE_2026,national,,,seats_D,223.06,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2025-11-14/markets-KXRHOUSESEATS.json,archival
2025-11-14,kalshi,market,individual,NATL_HOUSE_2026,national,,,win_prob_D,0.655,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2025-11-14/markets-KXRHOUSESEATS.json,archival
2025-11-14,wikipedia,expert_ordinal,private,HOU_AK_01_2026,house,AK,01,pvi,-6.0,pct,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_ordinal,cook:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_ordinal,inside_elections:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_ordinal,sabato:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_ordinal,race_to_the_wh:Lean R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AK_01_2026,house,AK,01,rating_numeric,7.0,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,private,HOU_AZ_01_2026,house,AZ,01,pvi,-1.0,pct,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_ordinal,cook:Toss-up,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_numeric,5.0,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_ordinal,inside_elections:Toss-up,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_numeric,5.0,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_ordinal,sabato:Toss-up,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_numeric,5.0,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_ordinal,race_to_the_wh:Toss-up,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_01_2026,house,AZ,01,rating_numeric,5.0,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,private,HOU_AZ_02_2026,house,AZ,02,pvi,-7.0,pct,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_ordinal,cook:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_ordinal,inside_elections:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_ordinal,sabato:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_ordinal,race_to_the_wh:Likely R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_02_2026,house,AZ,02,rating_numeric,8.5,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,private,HOU_AZ_05_2026,house,AZ,05,pvi,-10.0,pct,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_05_2026,house,AZ,05,rating_ordinal,cook:Solid R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_05_2026,house,AZ,05,rating_numeric,10.0,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
2025-11-14,wikipedia,expert_ordinal,individual,HOU_AZ_05_2026,house,AZ,05,rating_ordinal,inside_elections:Solid R,ordinal,2026-08-23T13:40:53.185941+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2025-11-14/current-2026-United-States-House-of-Representatives-election-ratings.json,archival
