ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",769364,0,0.7771,0.2023,0.0206,609962,0.4522,0.5478,0.0396,0.4501,0.0419,0.0179,0.0011,
"2",769364,0,0.4355,0.5451,0.0194,603006,0.86,0.14,0.0242,0.0354,0.0521,0.0201,0.0009,
"3",769364,0,0.397,0.5812,0.0217,594774,0.8438,0.1562,0.0316,0.0632,0.0306,0.0237,0.0013,
"4",769364,0,0.3937,0.5861,0.0202,599570,0.8172,0.1828,0.0478,0.0764,0.0222,0.0311,0.0024,
"5",769364,0,0.4111,0.5663,0.0226,588634,0.6993,0.3007,0.0703,0.1797,0.0161,0.0316,0.0043,
"6",769364,0,0.3647,0.6148,0.0206,588867,0.8388,0.1612,0.0484,0.0567,0.0227,0.0272,0.0035,
"7",769365,0,0.2835,0.6965,0.02,594947,0.8502,0.1498,0.0496,0.0264,0.0191,0.0456,0.0045,
"8",769364,0,0.2359,0.7468,0.0172,595852,0.8828,0.1172,0.0194,0.0471,0.0114,0.0305,0.001,
"",6154913,1,0.4081,0.5716,0.0203,4775612,0.7797,0.2203,0.0413,0.1177,0.0271,0.0284,0.0024,
